Tanggal,Bawang Merah,Bawang Putih,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi,Daging Ayam,Telur Ayam,Beras,Minyak Goreng
2023-06-04,40000.0,34940.0,31180.0,43630.0,136160.0,36490.0,30860.0,12770.0,15360.0
2023-06-05,39670.0,34720.0,31070.0,41530.0,137340.0,37530.0,30860.0,12770.0,15360.0
2023-06-06,39260.0,33980.0,32130.0,43270.0,137340.0,37110.0,30610.0,12770.0,15360.0
2023-06-07,39730.0,33650.0,32130.0,41530.0,137340.0,37110.0,30870.0,12770.0,15360.0
2023-06-08,39730.0,33650.0,32130.0,41870.0,138620.0,37530.0,30610.0,12830.0,15360.0
2023-06-09,38820.0,33500.0,31510.0,41870.0,138620.0,36490.0,30360.0,12770.0,15480.0
2023-06-10,39840.0,33650.0,32670.0,42920.0,138620.0,37760.0,30360.0,12770.0,15360.0
2023-06-11,39730.0,33430.0,32000.0,42220.0,138620.0,37760.0,30360.0,12770.0,15470.0
2023-06-12,39260.0,34180.0,31930.0,40070.0,138620.0,37760.0,30360.0,12770.0,15090.0
2023-06-13,39730.0,34180.0,31240.0,41260.0,138620.0,37760.0,30360.0,12640.0,15360.0
2023-06-14,39730.0,34180.0,31850.0,40280.0,138620.0,37480.0,30230.0,12640.0,15360.0
2023-06-15,39730.0,34300.0,31400.0,40330.0,138620.0,37760.0,30230.0,12770.0,15360.0
2023-06-16,39730.0,34300.0,30800.0,38570.0,138620.0,37760.0,30110.0,12710.0,15360.0
2023-06-17,39730.0,33520.0,31400.0,39660.0,138620.0,37760.0,30230.0,12770.0,15360.0
2023-06-18,39730.0,34300.0,31850.0,39760.0,138620.0,37760.0,29860.0,12770.0,15360.0
2023-06-19,39260.0,35850.0,30220.0,37720.0,138620.0,38650.0,30110.0,12770.0,15480.0
2023-06-20,38510.0,34300.0,31400.0,38340.0,138620.0,38080.0,30110.0,12890.0,15360.0
2023-06-21,40000.0,36700.0,29960.0,39660.0,137340.0,38170.0,30110.0,12500.0,15120.0
2023-06-22,39340.0,36560.0,32320.0,38470.0,137340.0,38870.0,29860.0,12450.0,15120.0
2023-06-23,38690.0,36230.0,31510.0,38380.0,137340.0,37580.0,30120.0,12450.0,15240.0
2023-06-24,39340.0,36690.0,32040.0,39120.0,137340.0,39180.0,30120.0,12380.0,15240.0
2023-06-25,40590.0,35860.0,33590.0,38950.0,137340.0,39070.0,30370.0,12320.0,15240.0
2023-06-26,39260.0,35860.0,35930.0,38050.0,137340.0,39730.0,30110.0,12700.0,15240.0
2023-06-27,39920.0,37800.0,39260.0,38690.0,139820.0,41200.0,30490.0,12890.0,15240.0
2023-06-28,41110.0,38040.0,39920.0,38840.0,141030.0,41600.0,30500.0,12830.0,15350.0
2023-06-29,39580.0,38420.0,41000.0,40590.0,139820.0,42210.0,30560.0,12700.0,15240.0
2023-06-30,39670.0,37720.0,39670.0,38590.0,138530.0,41540.0,30430.0,12700.0,15240.0
2023-07-01,39260.0,38130.0,40430.0,39550.0,138530.0,42040.0,30430.0,12830.0,15240.0
2023-07-02,39670.0,38130.0,40760.0,37970.0,139820.0,41000.0,30430.0,12950.0,15120.0
2023-07-03,40170.0,39520.0,39150.0,37290.0,138530.0,39950.0,31680.0,12830.0,15120.0
2023-07-04,38580.0,39980.0,37250.0,34710.0,137340.0,40730.0,30800.0,12890.0,15120.0
2023-07-05,39060.0,39190.0,36460.0,35120.0,137340.0,41260.0,30550.0,12830.0,15120.0
2023-07-06,37800.0,39220.0,36060.0,35560.0,137340.0,41000.0,30610.0,12760.0,15120.0
2023-07-07,36690.0,38000.0,35410.0,33270.0,137340.0,40730.0,30610.0,12830.0,15240.0
2023-07-08,36690.0,39910.0,35770.0,34120.0,137340.0,40730.0,30740.0,12830.0,15240.0
2023-07-09,36320.0,38900.0,36700.0,34040.0,137340.0,40730.0,30740.0,12830.0,15240.0
2023-07-10,35910.0,37760.0,33030.0,33800.0,135970.0,40730.0,30610.0,12830.0,15240.0
2023-07-11,35190.0,38660.0,33860.0,34430.0,137340.0,40380.0,30500.0,12830.0,15240.0
2023-07-12,35160.0,39730.0,34360.0,34780.0,137340.0,40870.0,30620.0,12830.0,15120.0
2023-07-13,35000.0,38410.0,33860.0,33800.0,137340.0,39910.0,30620.0,12830.0,15240.0
2023-07-14,34430.0,38730.0,34870.0,33710.0,137340.0,39910.0,30750.0,12830.0,15120.0
2023-07-15,33030.0,39210.0,34750.0,33330.0,137340.0,39790.0,30740.0,12830.0,15240.0
2023-07-16,33030.0,39150.0,34210.0,33070.0,137340.0,40160.0,30740.0,12760.0,15120.0
2023-07-17,33390.0,39120.0,34750.0,33230.0,137340.0,40040.0,30740.0,13010.0,15120.0
2023-07-18,31850.0,39330.0,31770.0,31770.0,137340.0,40500.0,30870.0,12890.0,15120.0
2023-07-19,30740.0,39230.0,32030.0,32030.0,136970.0,40410.0,30850.0,12880.0,15140.0
2023-07-20,30960.0,37710.0,32040.0,31790.0,137340.0,40110.0,30870.0,12890.0,14990.0
2023-07-21,30650.0,37710.0,31510.0,32400.0,137340.0,40110.0,30740.0,12890.0,15240.0
2023-07-22,31160.0,38340.0,31180.0,31240.0,134720.0,40000.0,30740.0,12890.0,14990.0
2023-07-23,30910.0,37940.0,31180.0,32040.0,137340.0,39860.0,30740.0,12890.0,15120.0
2023-07-24,30960.0,37710.0,31180.0,32130.0,137340.0,39280.0,30870.0,12890.0,15120.0
2023-07-25,30060.0,39090.0,30380.0,35410.0,137340.0,39010.0,30870.0,12950.0,15120.0
2023-07-26,31510.0,38340.0,31510.0,35410.0,137340.0,39010.0,30740.0,12890.0,15120.0
2023-07-27,31790.0,38010.0,32810.0,34600.0,137340.0,38500.0,30870.0,12890.0,15120.0
2023-07-28,31560.0,38340.0,31180.0,35010.0,137340.0,37940.0,30870.0,12890.0,15120.0
2023-07-29,31840.0,39090.0,31790.0,34470.0,137340.0,37940.0,30870.0,12890.0,15060.0
2023-07-30,31160.0,38100.0,31790.0,34240.0,137340.0,37940.0,30870.0,12890.0,14870.0
2023-07-31,31240.0,38100.0,33030.0,35010.0,137340.0,37940.0,30990.0,12890.0,15120.0
2023-08-01,31240.0,38590.0,34240.0,39740.0,137340.0,37660.0,31370.0,13010.0,15120.0
2023-08-02,30740.0,38670.0,35570.0,38460.0,136970.0,37340.0,31200.0,12950.0,15140.0
2023-08-03,31510.0,38190.0,35500.0,39660.0,137340.0,37660.0,31170.0,12960.0,15120.0
2023-08-04,30380.0,38160.0,34910.0,38980.0,137340.0,37400.0,30990.0,12960.0,15120.0
2023-08-05,30380.0,37460.0,34140.0,37680.0,137340.0,37960.0,30800.0,12960.0,15120.0
2023-08-06,30380.0,37460.0,35390.0,38180.0,137340.0,36790.0,30920.0,12960.0,15120.0
2023-08-07,29130.0,38590.0,33860.0,40310.0,137340.0,36180.0,31050.0,13020.0,15120.0
2023-08-08,29380.0,37550.0,34910.0,39430.0,137340.0,36790.0,30800.0,12900.0,14990.0
2023-08-09,28720.0,36270.0,32950.0,38780.0,134720.0,34690.0,30220.0,12620.0,14730.0
2023-08-10,29960.0,36610.0,33030.0,39060.0,137340.0,37400.0,30480.0,12960.0,15060.0
2023-08-11,29130.0,37950.0,30880.0,40170.0,137340.0,37400.0,30480.0,12960.0,15120.0
2023-08-12,29960.0,36610.0,35590.0,39700.0,137340.0,37400.0,30610.0,12960.0,15120.0
2023-08-13,29380.0,36830.0,34820.0,39080.0,137340.0,37400.0,30480.0,12830.0,15060.0
2023-08-14,29130.0,36250.0,35100.0,40430.0,137340.0,37400.0,30480.0,12960.0,15120.0
2023-08-15,28410.0,35540.0,36190.0,43150.0,137340.0,37660.0,29970.0,12780.0,15120.0
2023-08-16,28680.0,36600.0,35500.0,43250.0,137470.0,37900.0,30040.0,12710.0,15120.0
2023-08-17,29530.0,36470.0,35620.0,41760.0,137340.0,37900.0,29970.0,12710.0,15060.0
2023-08-18,28970.0,36470.0,35960.0,41860.0,137340.0,38180.0,29730.0,12710.0,15120.0
2023-08-19,28320.0,36390.0,36320.0,42080.0,137340.0,38180.0,29730.0,12710.0,15060.0
2023-08-20,28460.0,36700.0,37200.0,43730.0,137340.0,38180.0,29600.0,12710.0,15120.0
2023-08-21,28170.0,36840.0,38790.0,42770.0,137340.0,37690.0,29210.0,12710.0,15060.0
2023-08-22,25990.0,36940.0,39150.0,43920.0,137340.0,37690.0,28600.0,12770.0,15240.0
2023-08-23,25680.0,36940.0,39840.0,42090.0,138620.0,38190.0,28850.0,12840.0,15240.0
2023-08-24,25900.0,36940.0,40370.0,42590.0,138620.0,38190.0,28600.0,12840.0,15120.0
2023-08-25,26920.0,36230.0,40700.0,38600.0,138620.0,38070.0,28850.0,12840.0,15240.0
2023-08-26,26080.0,36410.0,39920.0,39130.0,138420.0,38380.0,28690.0,12820.0,15210.0
2023-08-27,25260.0,36790.0,41520.0,38790.0,138420.0,37650.0,28540.0,12820.0,15140.0
2023-08-28,25460.0,37950.0,40970.0,38220.0,138620.0,37690.0,28220.0,12900.0,15060.0
2023-08-29,24750.0,36070.0,42990.0,38130.0,138620.0,37940.0,27960.0,12970.0,15060.0
2023-08-30,25100.0,37070.0,41720.0,39050.0,138620.0,37940.0,27600.0,13200.0,15060.0
2023-08-31,23820.0,36460.0,44630.0,38280.0,138620.0,37940.0,26320.0,13120.0,15060.0
2023-09-01,24970.0,35320.0,40510.0,37550.0,138620.0,37940.0,26690.0,13000.0,15060.0
2023-09-02,26020.0,37250.0,42000.0,38280.0,138620.0,37690.0,26570.0,13000.0,14990.0
2023-09-03,24970.0,36000.0,40450.0,38470.0,138620.0,37690.0,26570.0,13000.0,14990.0
2023-09-04,24070.0,35790.0,39260.0,36800.0,138620.0,37070.0,26220.0,13330.0,15060.0
2023-09-05,23940.0,35270.0,37340.0,36800.0,138620.0,36950.0,27240.0,13390.0,15060.0
2023-09-06,23940.0,35640.0,36520.0,36440.0,138620.0,37420.0,27370.0,13450.0,14930.0
2023-09-07,23940.0,35890.0,35930.0,35500.0,138620.0,37970.0,27370.0,13450.0,15060.0
2023-09-08,23940.0,35760.0,35340.0,34910.0,138620.0,36520.0,27370.0,13330.0,14990.0
2023-09-09,24100.0,35270.0,35340.0,34910.0,138620.0,36790.0,26870.0,13390.0,14870.0
2023-09-10,24100.0,33650.0,33320.0,34600.0,138620.0,36790.0,27250.0,13390.0,14870.0
2023-09-11,23280.0,35270.0,33590.0,34820.0,138620.0,36180.0,27240.0,13460.0,14870.0
2023-09-12,23940.0,35960.0,32790.0,35500.0,138620.0,38240.0,27180.0,13520.0,14870.0
2023-09-13,22880.0,35270.0,34240.0,35500.0,138620.0,39320.0,27180.0,13650.0,14930.0
2023-09-14,23820.0,35640.0,33860.0,35190.0,138620.0,39320.0,27180.0,13650.0,14930.0
2023-09-15,23810.0,35640.0,32580.0,33940.0,138620.0,38500.0,26990.0,13710.0,14870.0
2023-09-16,22880.0,35640.0,33590.0,33590.0,138620.0,38500.0,26990.0,13890.0,14930.0
2023-09-17,23750.0,34600.0,32670.0,34260.0,138620.0,38750.0,26860.0,13960.0,14800.0
2023-09-18,23150.0,34040.0,32830.0,34780.0,138620.0,37800.0,26350.0,14200.0,14930.0
2023-09-19,23680.0,35400.0,33300.0,35030.0,138620.0,37800.0,26610.0,13370.0,14870.0
2023-09-20,23580.0,35290.0,32090.0,35000.0,139880.0,37930.0,26500.0,13670.0,14740.0
2023-09-21,24350.0,34690.0,33860.0,34820.0,137430.0,37800.0,26490.0,13770.0,14990.0
2023-09-22,22880.0,35490.0,33490.0,34140.0,138620.0,37940.0,26300.0,13660.0,15060.0
2023-09-23,22640.0,35360.0,34820.0,35590.0,138620.0,37530.0,26060.0,13960.0,15060.0
2023-09-24,23790.0,36350.0,36750.0,35670.0,138420.0,37930.0,26210.0,14030.0,15070.0
2023-09-25,22880.0,35660.0,37390.0,37320.0,138620.0,36790.0,26180.0,13910.0,14870.0
2023-09-26,23710.0,34670.0,36540.0,35690.0,138620.0,35470.0,26050.0,13910.0,14980.0
2023-09-27,22250.0,34780.0,38510.0,36700.0,138620.0,37130.0,27360.0,14030.0,14930.0
2023-09-28,23810.0,35060.0,37870.0,35410.0,138620.0,35640.0,25680.0,13910.0,14870.0
2023-09-29,23520.0,35360.0,38750.0,36090.0,138620.0,37130.0,25800.0,13840.0,14620.0
2023-09-30,23430.0,34570.0,37380.0,35100.0,138620.0,37130.0,25420.0,13840.0,14870.0
2023-10-01,22880.0,34570.0,38330.0,36350.0,138620.0,37020.0,25670.0,13780.0,14870.0
2023-10-02,22510.0,34950.0,39150.0,38260.0,138620.0,37680.0,25680.0,13840.0,14740.0
2023-10-03,23430.0,35640.0,38340.0,41530.0,138620.0,37720.0,25480.0,13840.0,14740.0
2023-10-04,23150.0,36050.0,39090.0,40330.0,138620.0,36520.0,25490.0,13840.0,14740.0
2023-10-05,23150.0,33080.0,38180.0,40670.0,138620.0,37830.0,25490.0,13780.0,14430.0
2023-10-06,23460.0,33260.0,38450.0,39980.0,138620.0,36040.0,25730.0,13840.0,14740.0
2023-10-07,23250.0,35660.0,38230.0,41830.0,138420.0,37360.0,26240.0,13890.0,14770.0
2023-10-08,21790.0,32450.0,37970.0,39940.0,138620.0,37830.0,25960.0,13840.0,14800.0
2023-10-09,23020.0,33060.0,38450.0,40840.0,138620.0,37690.0,25700.0,13840.0,14800.0
2023-10-10,22640.0,33000.0,36700.0,40720.0,138620.0,37560.0,25570.0,13910.0,14740.0
2023-10-11,22590.0,35310.0,36510.0,44090.0,138420.0,38090.0,25800.0,13970.0,14770.0
2023-10-12,22640.0,32940.0,39260.0,43470.0,138620.0,37560.0,25700.0,13910.0,14740.0
2023-10-13,22510.0,34090.0,38960.0,44050.0,138620.0,37410.0,25700.0,13840.0,14800.0
2023-10-14,23400.0,36290.0,40090.0,46000.0,138620.0,37410.0,26030.0,13960.0,14920.0
2023-10-15,22250.0,34650.0,39990.0,45330.0,138620.0,37560.0,25230.0,14030.0,14800.0
2023-10-16,22580.0,35590.0,39920.0,46550.0,138620.0,37010.0,24870.0,14150.0,14800.0
2023-10-17,21960.0,35960.0,40330.0,49970.0,138620.0,37010.0,24870.0,14150.0,14740.0
2023-10-18,22250.0,35190.0,40480.0,48540.0,138620.0,37140.0,25110.0,14090.0,14670.0
2023-10-19,23550.0,34400.0,39490.0,47200.0,138620.0,37140.0,25250.0,14030.0,14670.0
2023-10-20,21960.0,35330.0,40220.0,49970.0,138620.0,36900.0,25060.0,14150.0,14670.0
2023-10-21,23200.0,33870.0,42710.0,52670.0,138620.0,36770.0,25180.0,13920.0,14800.0
2023-10-22,22250.0,35330.0,42360.0,53340.0,138620.0,36670.0,25060.0,13920.0,14740.0
2023-10-23,22880.0,34650.0,40840.0,55400.0,138620.0,37010.0,25180.0,14040.0,14670.0
2023-10-24,22070.0,35200.0,41110.0,66040.0,138620.0,37140.0,24990.0,14040.0,14800.0
2023-10-25,21460.0,32820.0,41660.0,66770.0,138620.0,37140.0,25060.0,14040.0,14740.0
2023-10-26,24490.0,34570.0,44090.0,65340.0,138620.0,36900.0,25120.0,13910.0,14740.0
2023-10-27,23980.0,33700.0,44120.0,66500.0,138620.0,37000.0,25120.0,13920.0,14740.0
2023-10-28,22990.0,33870.0,46210.0,66380.0,138620.0,37000.0,25110.0,14180.0,14670.0
2023-10-29,24270.0,34650.0,47560.0,69550.0,138620.0,36760.0,25120.0,14120.0,14740.0
2023-10-30,23810.0,35330.0,50150.0,72860.0,138620.0,36900.0,25120.0,14120.0,14740.0
2023-10-31,24530.0,34760.0,59290.0,74320.0,138620.0,36390.0,25120.0,14120.0,14740.0
2023-11-01,25260.0,33160.0,60840.0,77540.0,138420.0,37060.0,24990.0,14210.0,14700.0
2023-11-02,25460.0,35330.0,59940.0,75580.0,138620.0,36530.0,25110.0,13990.0,14740.0
2023-11-03,26550.0,34650.0,62710.0,82650.0,138620.0,36900.0,25120.0,14120.0,14740.0
2023-11-04,25520.0,33620.0,64570.0,84880.0,139900.0,36480.0,26070.0,14060.0,14570.0
2023-11-05,26360.0,35920.0,64800.0,85850.0,138620.0,36670.0,25250.0,14120.0,14910.0
2023-11-06,27010.0,34360.0,65230.0,62960.0,138620.0,36900.0,25500.0,14120.0,14780.0
2023-11-07,26270.0,33870.0,67140.0,81030.0,138620.0,36670.0,25990.0,14120.0,14670.0
2023-11-08,26500.0,35330.0,68960.0,81640.0,138620.0,36670.0,26240.0,14180.0,14780.0
2023-11-09,27010.0,34270.0,70870.0,81480.0,138620.0,36900.0,26230.0,14120.0,14650.0
2023-11-10,27540.0,34520.0,68160.0,81290.0,138620.0,36900.0,26490.0,14120.0,14660.0
2023-11-11,27010.0,35960.0,69700.0,82010.0,135970.0,36670.0,26240.0,14120.0,14580.0
2023-11-12,26870.0,35340.0,75860.0,81130.0,139900.0,36480.0,26480.0,13960.0,14570.0
2023-11-13,29070.0,34260.0,70300.0,79920.0,134720.0,36870.0,26800.0,14160.0,14740.0
2023-11-14,28970.0,35700.0,73210.0,84110.0,137340.0,37000.0,27110.0,14220.0,14780.0
2023-11-15,29380.0,34750.0,72140.0,85290.0,137340.0,37040.0,26980.0,14160.0,14540.0
2023-11-16,30690.0,34620.0,71610.0,84550.0,137340.0,37000.0,26990.0,14160.0,14780.0
2023-11-17,29920.0,34490.0,73640.0,83440.0,136080.0,37000.0,27240.0,14160.0,14920.0
2023-11-18,29880.0,34770.0,74180.0,85940.0,136080.0,37000.0,26860.0,14220.0,14670.0
2023-11-19,30020.0,34490.0,74870.0,83770.0,135460.0,36870.0,26990.0,14220.0,14670.0
2023-11-20,29350.0,33830.0,73370.0,85130.0,135460.0,36760.0,27060.0,14220.0,14780.0
2023-11-21,30040.0,33760.0,77380.0,89630.0,134820.0,36870.0,27240.0,14220.0,14800.0
2023-11-22,30860.0,33600.0,75930.0,91740.0,135460.0,37140.0,27110.0,14220.0,14910.0
2023-11-23,30380.0,33120.0,71990.0,90740.0,136080.0,37140.0,27110.0,14220.0,14850.0
2023-11-24,30650.0,33890.0,74610.0,90040.0,135460.0,37140.0,27110.0,14220.0,14780.0
2023-11-25,29800.0,34550.0,77720.0,91670.0,134720.0,37140.0,27430.0,14340.0,14910.0
2023-11-26,29770.0,34480.0,76960.0,90540.0,135520.0,36590.0,27420.0,14250.0,14770.0
2023-11-27,29770.0,34460.0,74120.0,90540.0,135520.0,36250.0,27140.0,14250.0,14910.0
2023-11-28,30120.0,33860.0,75210.0,90910.0,137340.0,36430.0,27120.0,14220.0,14970.0
2023-11-29,29800.0,34800.0,80920.0,93480.0,137340.0,36430.0,27240.0,14340.0,14900.0
2023-11-30,29800.0,34800.0,83750.0,92510.0,137340.0,36430.0,27240.0,14340.0,14900.0
2023-12-01,29300.0,33730.0,84330.0,89730.0,138420.0,35950.0,27280.0,14180.0,14890.0
2023-12-02,30110.0,34290.0,82810.0,89720.0,137340.0,36430.0,27120.0,14340.0,14970.0
2023-12-03,29800.0,34090.0,83380.0,90940.0,137340.0,36430.0,27120.0,14340.0,15030.0
